id_n,Year,rural_urban,region,Employment_Income,job_desc,job_category,employer_activity,employer_activity_code,employer_category,formal,weight
4537,2022,2. URBAN,4. OROMIA,150948.0,Manager,"4. Clerks, Office clerks ",College,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,670.0133667
4656,2022,2. URBAN,4. OROMIA,211680.0,Cooker,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Hotel,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),1. PRIVATE COMPANY,2. NO,5301.381348
4679,2022,2. URBAN,4. OROMIA,36000.0,Broker- Livestock market,"9. Elementary Occupations, Sales And Services Elementary Occupations",Brokery,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,9268.954102
4726,2022,1. RURAL,4. OROMIA,5600.0,Trade,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Chat/Kat sale,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,573.5553589
4822,2022,1. RURAL,4. OROMIA,6300.0,House maid,"9. Elementary Occupations, Sales And Services Elementary Occupations",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,27899.54492
4859,2022,1. RURAL,4. OROMIA,14400.0,Daily laborer,"9. Elementary Occupations, Sales And Services Elementary Occupations",Labor,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,32370.28906
4882,2022,1. RURAL,4. OROMIA,22400.0,Construction work,"9. Elementary Occupations, Sales And Services Elementary Occupations",Agriculture,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",2. PRIVATE INDIVIDUAL,2. NO,32370.28906
4917,2022,1. RURAL,4. OROMIA,2100.0,Wood worker,"9. Elementary Occupations, Sales And Services Elementary Occupations",Chat sales,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,22419.08984
4937,2022,2. URBAN,4. OROMIA,21000.0,Chat sales,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Chat sales,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,3586.772705
4940,2022,2. URBAN,4. OROMIA,42000.0,Chat sales,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Chat sales,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,3526.162354
4942,2022,2. URBAN,4. OROMIA,11200.0,Chat sales,"9. Elementary Occupations, Sales And Services Elementary Occupations",Chat sales,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,3526.162354
4953,2022,2. URBAN,4. OROMIA,18000.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Livestock trade,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,2536.014648
4976,2022,2. URBAN,4. OROMIA,9252.0,Agriculture office,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Public service,13. EDUCATION,3. GOVERNMENT,1. YES,7571.93457
4979,2022,2. URBAN,4. OROMIA,33600.0,Unskilled work- any,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Unskilled labor- any,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,1. YES,7571.93457
4989,2022,2. URBAN,4. OROMIA,77000.0,Health worker,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,337.7545471
5060,2022,1. RURAL,4. OROMIA,29700.0,Health worker,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,18315.0957
5101,2022,2. URBAN,4. OROMIA,30000.0,Mobile phone repair,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Mobile repair,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,1. YES,6104.015625
5111,2022,2. URBAN,4. OROMIA,1000.0,Guard,"9. Elementary Occupations, Sales And Services Elementary Occupations",Pharmacy,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",2. PRIVATE INDIVIDUAL,1. YES,26691.07813
5118,2022,2. URBAN,4. OROMIA,25200.0,Transport officer,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Transport,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,2. NO,7999.745605
5136,2022,2. URBAN,4. OROMIA,96204.0,Administrator,"1. Legislators, Senior Government Officials and Managers",Public Administration/leadership,13. EDUCATION,3. GOVERNMENT,1. YES,7626.13916
5137,2022,2. URBAN,4. OROMIA,108672.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,7626.13916
5141,2022,2. URBAN,4. OROMIA,106284.0,Government employee,"1. Legislators, Senior Government Officials and Managers",Human resource management,13. EDUCATION,3. GOVERNMENT,1. YES,6609.793457
5142,2022,2. URBAN,4. OROMIA,61390.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,6609.793457
5543,2022,2. URBAN,4. OROMIA,6300.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,679.0247192
5554,2022,2. URBAN,4. OROMIA,24000.0,Cleaning service,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Cleaning,14. HEALTH AND SOCIAL WORK,5. NON GOVERNMENTAL ORGANIZATIONS,2. NO,5480.125488
5557,2022,2. URBAN,4. OROMIA,280.0,Baking Enjera,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Bakery,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,2. PRIVATE INDIVIDUAL,2. NO,19881.6543
5643,2022,2. URBAN,4. OROMIA,1400.0,Unskilled labor- construction,"9. Elementary Occupations, Sales And Services Elementary Occupations",Household consumption,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,8873.597656
5654,2022,2. URBAN,4. OROMIA,10000.0,Cooker,"9. Elementary Occupations, Sales And Services Elementary Occupations",Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",5. NON GOVERNMENTAL ORGANIZATIONS,1. YES,12567.64941
5657,2022,2. URBAN,4. OROMIA,10500.0,Driver,"9. Elementary Occupations, Sales And Services Elementary Occupations",Transport and communication,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,2. NO,12567.64941
5658,2022,2. URBAN,4. OROMIA,67200.0,Unskilled labor- agriculture,"9. Elementary Occupations, Sales And Services Elementary Occupations",Butchery,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,2. NO,4066.338867
5662,2022,2. URBAN,4. OROMIA,67200.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",Hotel,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,6505.552246
5669,2022,2. URBAN,4. OROMIA,84852.0,Health worker,"4. Clerks, Office clerks ",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,2281.150146
5680,2022,2. URBAN,4. OROMIA,55308.0,Land administration,"4. Clerks, Office clerks ",Land administration office,13. EDUCATION,3. GOVERNMENT,1. YES,5631.659668
5772,2022,1. RURAL,4. OROMIA,14000.0,Cattle herding,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Cattle herding,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,32370.28906
5788,2022,1. RURAL,4. OROMIA,6000.0,Water supplies operator,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Private enterprise- water,"5. ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",3. GOVERNMENT,2. NO,32370.28906
5863,2022,1. RURAL,4. OROMIA,19200.0,Carpentry,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Home service,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,5514.320801
5884,2022,1. RURAL,4. OROMIA,12000.0,Private employee,"9. Elementary Occupations, Sales And Services Elementary Occupations",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,32370.28906
5911,2022,1. RURAL,4. OROMIA,12000.0,Trade,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Private enterprise,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,2. PRIVATE INDIVIDUAL,2. NO,29526.7168
5983,2022,2. URBAN,4. OROMIA,65439.0,Bank officer,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Money transfer service,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,5292.447266
5984,2022,2. URBAN,4. OROMIA,88452.0,Auditor,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Revenue and customs,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,653.4186401
5987,2022,2. URBAN,4. OROMIA,67812.0,Driver,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",University,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,5761.648926
6004,2022,2. URBAN,4. OROMIA,25784.0,Health worker,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Hospital,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,3990.143555
6007,2022,2. URBAN,4. OROMIA,90560.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,7785.158203
6008,2022,2. URBAN,4. OROMIA,53500.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,7785.158203
6017,2022,2. URBAN,4. OROMIA,132.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,653.4186401
6028,2022,1. RURAL,4. OROMIA,55260.0,Veterinary work,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,32370.28906
6030,2022,1. RURAL,4. OROMIA,27538.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,32370.28906
6102,2022,1. RURAL,4. OROMIA,18000.0,Religious service,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Religious service,14. HEALTH AND SOCIAL WORK,6. CHURCH / RELIGIOUS ORGANIZATION,1. YES,546.828186
6147,2022,1. RURAL,4. OROMIA,55800.0,Agriculture office,6. Skilled Agricultural and Fishery Workers Market-Oriented Skilled Agricultural and Fishery Workers,Agriculture,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",3. GOVERNMENT,1. YES,15709.82715
6167,2022,1. RURAL,4. OROMIA,8400.0,Washing- clothes,"9. Elementary Occupations, Sales And Services Elementary Occupations",Washing service- clothes,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,2754.924072
6168,2022,1. RURAL,4. OROMIA,2400.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",Porter,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,4. STATE-OWNED ENTERPRISE,2. NO,2754.924072
6172,2022,1. RURAL,4. OROMIA,168000.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,9977.87793
6189,2022,1. RURAL,4. OROMIA,8400.0,Daily laborer,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Daily laborer,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,32370.28906
6196,2022,1. RURAL,4. OROMIA,5280.0,Unskilled work- any,"9. Elementary Occupations, Sales And Services Elementary Occupations",Daily laborer,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,9871.879883
6233,2022,1. RURAL,4. OROMIA,7140.0,Daily laborer,6. Skilled Agricultural and Fishery Workers Market-Oriented Skilled Agricultural and Fishery Workers,Grain mill,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",2. PRIVATE INDIVIDUAL,2. NO,4892.510742
6284,2022,2. URBAN,4. OROMIA,70000.0,Cooker,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Restaurant,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,2. NO,15495.64258
6286,2022,2. URBAN,4. OROMIA,63600.0,Hotel service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Restaurant,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,2. PRIVATE INDIVIDUAL,1. YES,15495.64258
6293,2022,2. URBAN,4. OROMIA,42000.0,Factory worker,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Industry park,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",1. PRIVATE COMPANY,1. YES,6550.027832
6306,2022,2. URBAN,4. OROMIA,504000.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",labor,16. PRIVATE HOUSEHOLDS WITH EMPLOYED PERSONS,2. PRIVATE INDIVIDUAL,2. NO,4424.806152
6317,2022,2. URBAN,4. OROMIA,3000.0,Secretary,"4. Clerks, Office clerks ",Service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,15063.23535
6330,2022,2. URBAN,4. OROMIA,24000.0,Guard,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Mechanic service,16. PRIVATE HOUSEHOLDS WITH EMPLOYED PERSONS,2. PRIVATE INDIVIDUAL,2. NO,6180.750488
6336,2022,2. URBAN,4. OROMIA,13800.0,Teacher,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,4081.9646
6337,2022,2. URBAN,4. OROMIA,70740.0,Accountant,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Federal Prison comission,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,4081.9646
6340,2022,2. URBAN,4. OROMIA,136200.0,Administrator,"4. Clerks, Office clerks ",Public adminstration,13. EDUCATION,3. GOVERNMENT,1. YES,4590.191406
6344,2022,2. URBAN,4. OROMIA,1000.0,Household chores,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Home service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,1. YES,4590.191406
6347,2022,2. URBAN,4. OROMIA,45000.0,Metal work,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Metal industry,3. MINING AND QUARRYING,3. GOVERNMENT,1. YES,8338.941406
6349,2022,2. URBAN,4. OROMIA,12000.0,Tailor,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Fabric factory,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,4. STATE-OWNED ENTERPRISE,1. YES,5418.918457
6350,2022,2. URBAN,4. OROMIA,12600.0,Household chores,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Home service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,5418.918457
6352,2022,2. URBAN,4. OROMIA,48000.0,Customer service,"4. Clerks, Office clerks ",Bank Service,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,3533.371338
6355,2022,2. URBAN,4. OROMIA,21600.0,Factory worker,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Tailor,3. MINING AND QUARRYING,3. GOVERNMENT,1. YES,7846.92334
6358,2022,2. URBAN,4. OROMIA,51342.0,Office worker,"1. Legislators, Senior Government Officials and Managers",Public adminstration,13. EDUCATION,3. GOVERNMENT,1. YES,5740.540039
6361,2022,2. URBAN,4. OROMIA,16800.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Eductaion,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,1. YES,890.6464844
6366,2022,2. URBAN,4. OROMIA,133020.0,Accountant,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Finance service,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",1. PRIVATE COMPANY,1. YES,4367.789551
6370,2022,2. URBAN,4. OROMIA,24000.0,Factory worker,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Tea production,3. MINING AND QUARRYING,1. PRIVATE COMPANY,1. YES,2077.495605
6374,2022,2. URBAN,4. OROMIA,30000.0,Government employee,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Defence,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,752.6066895
6387,2022,2. URBAN,4. OROMIA,14000.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,1007.614258
6388,2022,2. URBAN,4. OROMIA,960.0,Baking Enjera,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Hotel/restaurant/café,17. EXTRA-TERRITORIAL ORGANIZATIONS AND BODIES INCLUDING INTERNATIONAL ORGANIZATIONS AND NGOS,1. PRIVATE COMPANY,2. NO,1007.614258
6402,2022,2. URBAN,4. OROMIA,66000.0,Driver,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Transport,7. TRADE (WHOLESALE AND RETAIL TRADE),3. GOVERNMENT,1. YES,7890.212402
6410,2022,2. URBAN,4. OROMIA,672000.0,Taxi driver,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Transport and communication,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,2. NO,11523.80762
6418,2022,2. URBAN,4. OROMIA,10080.0,Washing- clothes,"9. Elementary Occupations, Sales And Services Elementary Occupations",Washing service- clothes,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,1284.786377
6421,2022,2. URBAN,4. OROMIA,84000.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",Labor,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,5746.381836
6433,2022,2. URBAN,4. OROMIA,67200.0,Hair salon,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Hair salon,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,12564.70117
6435,2022,2. URBAN,4. OROMIA,1000.0,Retail shop,"9. Elementary Occupations, Sales And Services Elementary Occupations",Trade,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,2. PRIVATE INDIVIDUAL,2. NO,12564.70117
6448,2022,2. URBAN,4. OROMIA,168000.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",Porter,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,10853.13574
6460,2022,2. URBAN,4. OROMIA,50400.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",Porter,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,6474.457031
6463,2022,2. URBAN,4. OROMIA,504000.0,Porter,"9. Elementary Occupations, Sales And Services Elementary Occupations",Porter,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),2. PRIVATE INDIVIDUAL,2. NO,6474.457031
6465,2022,2. URBAN,4. OROMIA,167112.0,Health worker,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,834.9237671
6466,2022,2. URBAN,4. OROMIA,88800.0,Health worker,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",5. NON GOVERNMENTAL ORGANIZATIONS,1. YES,834.9237671
6477,2022,2. URBAN,4. OROMIA,12000.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",2. PRIVATE INDIVIDUAL,2. NO,4061.184082
6478,2022,2. URBAN,4. OROMIA,3000.0,Hand craft,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Household consumption,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,2. NO,4061.184082
6486,2022,2. URBAN,4. OROMIA,48000.0,Livestock sales,"9. Elementary Occupations, Sales And Services Elementary Occupations",Livestock trade,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,1. PRIVATE COMPANY,2. NO,23889.80273
6492,2022,2. URBAN,4. OROMIA,500.0,Construction work,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",1. PRIVATE COMPANY,1. YES,23889.80273
6502,2022,2. URBAN,4. OROMIA,7200.0,Guard,"9. Elementary Occupations, Sales And Services Elementary Occupations",Security,14. HEALTH AND SOCIAL WORK,2. PRIVATE INDIVIDUAL,1. YES,4414.460449
6506,2022,2. URBAN,4. OROMIA,72000.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",1. PRIVATE COMPANY,2. NO,3396.455078
6510,2022,2. URBAN,4. OROMIA,9900.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",1. PRIVATE COMPANY,1. YES,12101.14551
6514,2022,2. URBAN,4. OROMIA,9020.0,Butchery,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Butchery,14. HEALTH AND SOCIAL WORK,3. GOVERNMENT,2. NO,14725.9834
6521,2022,2. URBAN,4. OROMIA,42000.0,Construction work,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Construction,"6. CONSTRUCTION (CONTRACTOR, SITE PREPARATION, LAND CLEARING, BUILDING/ HOME CONSTRUCTION)",1. PRIVATE COMPANY,2. NO,13217.8291
6526,2022,2. URBAN,4. OROMIA,108672.0,Administrator,"4. Clerks, Office clerks ",Public administration,13. EDUCATION,3. GOVERNMENT,1. YES,992.5055542
6537,2022,2. URBAN,4. OROMIA,160000.0,Washing service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Plastic production,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),1. PRIVATE COMPANY,2. NO,794.1873779
6545,2022,2. URBAN,4. OROMIA,18000.0,Factory worker,"8. Plant and Machine Operators and Assemblers, Stationary-Plant and Related Operators",Retail trade,3. MINING AND QUARRYING,1. PRIVATE COMPANY,1. YES,2446.827637
6589,2022,2. URBAN,4. OROMIA,49500.0,Driver,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Public service,7. TRADE (WHOLESALE AND RETAIL TRADE),2. PRIVATE INDIVIDUAL,1. YES,8438.452148
